stop_id,stop_code,stop_name,stop_lat,stop_long
440,CTA1232,Eglise De La Meignanne,,
441,CTA183,Gloutière,,
442,CTA184,Grange,,
443,CTA2471,La Tancellerie,,
445,CTA2300,Les Gâts Meignanne,,
446,CTA181,Molinerie,,
447,CTA173,Bourg de la Membrolle,,
448,CTA172,Bouvet,,
450,CTA2361,Chevallerie,,
453,CTA2310,Mairie de la Membrolle,,
454,CTA1488,18 Juin,,
455,CTA2214,Allemagne,,
456,CTA1426,Autriche,,
457,CTA1398,Avenue de l'Europe,,
458,CTA1280,Beau Site,,
459,CTA1275,Bel Air,,
460,CTA2203,Béné,,
461,CTA1307,Camping De Juigné,,
463,CTA2139,Danemark,,
464,CTA1366,De Beauvoir,,
465,CTA1397,Esperanto,,
466,CTA1718,ETAS Montreuil,,
467,CTA1459,Irlande,,
468,CTA1460,Italie,,
469,CTA1466,Jean Huez,,
470,CTA1474,Juigné,,
471,CTA2102,Mastelle,,
472,CTA1506,Montreuil,,
473,CTA1568,Piscine de Juigné,,
474,CTA1573,Plateau Fleuri,,
475,CTA1541,République Montreuil,,
476,CTA174,V Hugo Montreuil,,
477,CTA1262,Barbotterie,,
479,CTA1323,Château Erigné,,
481,CTA1394,Erigné,,
483,CTA1423,Grand Pressoir,,
484,CTA2297,Hôtel de Ville,,
485,CTA1277,Jean Carmet,,
486,CTA1478,La Buissaie,,
487,CTA1490,Le Coteau,,
488,CTA1496,Levesque,,
489,CTA1532,Monnier,,
490,CTA1546,Mûrs Erigné,,
491,CTA2272,Princé,,
495,CTA1622,Soland,,
496,CTA1164,Blitourne,,
499,CTA1175,Eglise de Pellouailles,,
502,CTA2232,Mairie De Pellouailles,,
503,CTA119,Stade de Pellouailles,,
505,CTA130,Beaulieu,,
507,CTA125,Clos Doreau,,
509,CTA132,Genetière,,
511,CTA131,Joc,,
515,CTA123,Mairie du Plessis Grammoire,,
516,CTA124,Monplaisir Plessis Grammoire,,
517,CTA128,Quatre Vents,,
518,CTA129,St Gilles,,
519,CTA2363,Colombier,,
520,CTA2416,Espace Longuenée,,
521,CTA2309,L'Orée,,
522,CTA179,Mairie du Plessis Macé,,
524,CTA2311,Nouelle,,
525,CTA39,Route de St Clément,,
526,CTA1254,Athlétis,,
527,CTA1257,Authion,,
528,CTA2377,Baudrairie,,
529,CTA1279,Belle Poule,,
530,CTA1292,Bosquet,,
531,CTA1317,Centre commercial,,
532,CTA1342,Cimetière des Ponts de Cé,,
535,CTA1372,Dionneau,,
